,Title,Location,Company,Salary,Describtion,Rating,long,lat
0,Engineer Intern (35 Hour) (Target Class - Air Pollution Cont...,"Hartford, Ct 06106 (Downtown Area)",State of Connecticut - Department of Energy & Envi...,55625.0,"General knowledge of basic engineering theories, principles and methods; skill in use of drafting and calculating instruments; considerable ability in…",4.0,-72.6772016,41.7655714
1,Engineer Intern (35 Hour) (Land & Water Resources Division),"Hartford, Ct 06106 (Downtown Area)",State of Connecticut - Department of Energy & Envi...,55625.0,"General knowledge of basic engineering theories, principles and methods; skill in use of drafting and calculating instruments; considerable ability in…",4.0,-72.6772016,41.7655714
2,Undergraduate Internship/Co-op Program - Multi-Discipline Se...,"Washington, Dc",Central Intelligence Agency,44279.0,"As an Undergraduate Intern, you are expected to develop, display, and hone analytic and communication skills during your exposure to various security…",4.3,-77.0368707,38.9071923
3,Enterprise Infrastructure Engineer,"Middlebury, Vt",Middlebury College,61216.0,"Furthermore, the engineer proactively monitors infrastructure services to identify, communicate, and resolve potential issues before they trigger a service…",4.0,-73.16734,44.0153371
4,Enterprise Infrastructure Engineer,"Middlebury, Vt",Middlebury College,61216.0,"Student workers, interns, and representatives of student organizations.Furthermore, the engineer proactively monitors infrastructure services to identify,…",4.0,-73.16734,44.0153371
5,SUMMER INTERNSHIP - Computer Science,"Fredericksburg, Va 22408",IST Research,31200.0,The ability to self-teach complex material by reading documentation.Minimum of 30 hours/week required.,4.8,-77.4605399,38.3031837
6,Acid Mine Drainage Software Intern,"Pittsburgh, Pa",Conservation Legacy,15600.0,"Term of positions is 15 weeks; full-time 40 hrs/wk.Participants work with federal agencies, tribal governments, and nonprofits building institutional capacity,…",3.5,-79.9958864,40.44062479999999
7,Acid Mine Drainage Software Intern,"Pittsburgh, Pa",Conservation Legacy,15600.0,"Assist in the completion of the AMDTreat software upgrade.The intern will assist in the completion of the software upgrade, which will enable OSMRE to further…",3.5,-79.9958864,40.44062479999999
8,Undergraduate Internship Program - Computer Science,"Washington, Dc",Central Intelligence Agency,46633.60000000001,"As a Computer Science undergraduate student for the CIA, you will work on teams alongside our full-time officers in an R&D or quick-turnaround environment on…",4.3,-77.0368707,38.9071923
9,Internship - Project Engineer Summer Intern- HH,"Chicago, Il",IHC Construction Companies LLC,37440.0,"Applicant should have good organizational skills, be proficient in MS Office programs, and be capable of learning Owner provided Project Management software.",4.3,-87.6297982,41.8781136
10,Intern,"College Park, Md 20740",Fraunhofer USA,24960.0,Opportunities to develop scientific solutions and prototype ideas with cutting-edge technologies combining software and biological innovations.,3.0,-76.9354979,39.0026879
11,"Software Engineering Intern - Melbourne, FL","Melbourne, Fl 32934",Avidyne Corporation,41600.0,"The company has set a new standard in pilot-friendly, easy-to-use products, with its full line of communication, navigation, flight displays, surveillance, and…",4.2,-80.7103532,28.1356631
12,Intern,"College Park, Md 20740",Fraunhofer USA,24960.0,"Chances to apply industry best practices in software development, safety, and engineering.Opportunities to develop scientific solutions and prototype ideas…",3.0,-76.9354979,39.0026879
13,Summer Engineering Internship,"Vista, Ca 92081","Flux Power, Inc",35360.0,"Activities will include battery mechanical and electrical testing, design release (creation of design documentation, change orders, work instructions/procedures…",3.4,-117.2534184,33.1778834
14,Internship - Project Engineer Summer Intern- BD,"Chicago, Il",IHC Construction Companies LLC,37440.0,"Applicant should have good organizational skills, be proficient in MS Office programs, and be capable of learning Owner provided Project Management software.",4.3,-87.6297982,41.8781136
15,Healthcare Analytics Intern,"Brookfield, Wi 53005",Milliman,24960.0,We advise clients on a wide range of issues—from assessing the impact of healthcare reform on organizations or populations to streamlining operations while…,3.6,-88.099845,43.0717382
16,"Software Engineering Intern - Melbourne, FL","Melbourne, Fl 32934",Avidyne Corporation,41600.0,Writing low level software requirements and software design documentation for our displays.Writing software and unit tests.,4.2,-80.7103532,28.1356631
