,Title,Location,Company,Salary,Describtion,Requirements,Rating
0,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Engineering – Computer Science, Software Development, Coding, Programming.It’s a full-time, 10-week commitment from May 27, 2020 through July 31, 2020.",NaN,3.4
1,"Fullstack Software Developer Intern (JavaScript, Swift)",NaN,GoGoody Inc,$15 - $25 an hour,B.S. or M.S. in computer science or related fields;Very strong in JavaScript or Swift (at least 4 years' in-school or industry programming experience required)…,JavaScript: 2 years,NaN
2,Data Management Intern,NaN,Prometheus Research,$16 an hour,Prometheus Research is hiring interns who will support research data management and software development projects.Creating data sets for client analysis.,NaN,4.7
3,2020 Summer Intern: Product Analyst,NaN,SPECTRUM,NaN,"Engineering - Computer Science, Software Development, Coding, Programming.It’s a full-time, 10-week commitment from May 27, 2020 through July 31, 2020.",NaN,3.4
4,2020 Summer Intern: Software Integrator,NaN,SPECTRUM,NaN,"Engineering – Software Development, Computer Science, Programming, Coding.It’s a full-time, 10-week commitment from May 27, 2020 through July 31, 2020.",NaN,3.4
5,Remote Software Engineer Internship,"Jersey City, NJ",TWG Companies,NaN,"We are seeking 14 Software Engineers responsible for design, app, back-end and front-end development for mutiple interactive web/mobile applications.",NaN,NaN
6,2020 Software Engineer Intern,"New York, NY",Bloomberg,NaN,"Bloomberg software engineers develop impactful solutions to complex, real-world problems.Engineering interns take ownership of their projects under the…",NaN,3.9
7,"Software Engineer, Intern/Co-op","Sausalito, CA",Facebook,NaN,It's common to write code and have it running live on the site hours later.Code high-volume software using primarily C++ and Java.,NaN,4.2
8,Software Engineer Intern,"Troy, NY",Warner Bros. Games,NaN,You will be responsible for writing code behind very complex data processing and presentation tools that integrate tightly with some of the industry's biggest…,NaN,4.2
9,University Programs: Software Engineering Intern,"Dulles, VA",Raytheon Technologies,NaN,"AST offers generous reward and recognition programs in compensation, broad career development opportunities, excellent health care options, educational…",NaN,4.0
10,Software Engineer Summer Intern (JavaScript),"Chicago, IL 60657 (Lake View area)",Backbar,"$4,000 a month",Backbar is a software company that provides a platform for restaurants and bars to manage beverage inventory.Our web and mobile apps make it easy for operators…,NaN,NaN
11,Entry Level/Intern/Jr Software Developer,"Washington, DC",Ignitec Inc,"$55,000 - $75,000 a year","Looking for Interns/Entry Level/Jr Software Developer with at least 4 years of javas script e*.Design and implement architectural requirements, system…",NaN,NaN
12,Software Engineering Intern,"Denver, CO",Canduit,NaN,Roadmaps + prioritization of product features.Go to https://canduit.co/ to register as a Student/Recent Grad or Student Club and request a project.,NaN,NaN
13,Software Management Information Systems Internship (Summer 2...,"New York, NY",Retensa,NaN,"While gaining true hands-on experience, you will engage in real-world cross-functional technology problem solving from the ground up.",NaN,3.8
14,iOS Software Engineer Intern,"New York, NY",MedMission,"$15,000 a year","To be successful in this role, you should have experience with design software and wireframe tools.Prepare and present rough drafts to internal teams and key…",NaN,NaN
15,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
16,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Jr. Software Developer will write software in Java, Python or preferred assembly language.The Jr. software developer will be introduced into the SDLC (…",NaN,3.4
17,Junior Programmer Analyst Intern,NaN,Utility Metering Solutions,$17 - $19 an hour,"Support current in-house software suite.Utility Metering Solutions (UMS) is looking for a full-time Junior Programmer Analyst Intern* in their *Raleigh, NC…",NaN,3.2
18,Software Development Intern,NaN,Property Matrix,"$35,000 a year",Suggest viable solutions to resolve issues with existing software.Implement new features to existing software according to specifications.,NaN,NaN
19,Backend Engineer Intern,NaN,Shealth Startup,NaN,"Design & develop best of the breed backend services to power our mobile applications.Work closely with the product manager, mobile developers, and designer.",NaN,NaN
20,Intern- Computer Scientist,NaN,SAIC,NaN,"To qualify based on your experience, the candidate should be working in a full four-year course of study in an accredited college or university leading to a…",NaN,4.0
21,Software / Web Developer,"New York, NY",Source Enterprises,NaN,Hands-on training in various Web Development and UIX software:Some of our former interns (on the software development side as well as graphic design and…,NaN,5.0
22,Summer 2020 - Machine Learning Engineer - Intern,"New York, NY",Samsung Research America Internship,NaN,Team members will have the intellectual freedom to cultivate their research roots by partnering with universities and publishing in leading scientific…,NaN,NaN
23,"Software Engineer, Intern (Winter or Summer)/Co-op","San Francisco, CA",Rimeto,NaN,"Demonstrated software engineering experience from coursework, previous internship, research/work experience, coding competitions, publications, or personal…",NaN,NaN
24,Software Engineer Intern,"San Francisco, CA",Showwcase,NaN,"Design, develop and test software frameworks.Ensure we meet our commitments to ship high-quality software, clearly communicating across the product team and…",NaN,NaN
25,"Software Engineer, Intern","Reston, VA 20190 (Sunset Hills area)",Oracle,NaN,"Received undergraduate degree in computer science, computer engineering, electrical engineering, or related area of study.",NaN,3.8
26,Software Development Intern (Full-Stack),"Boston, MA",Zippity,NaN,"Instead, we bring our custom, 4-season mobile service garages to our customers’ workplaces or homes and help them with everything from basic oil changes to…",NaN,NaN
27,Software Engineering/Web Intern,"Beltsville, MD 20705",ASRC Federal Holding Company,NaN,"Individual will provide support to the web development team in a variety of tasks.Tasks include analyzing and classifying data, researching technologies,…",NaN,3.6
28,Software Engineer Intern,"Berkeley, CA",Anyscale,NaN,"Develop high quality software to empower software developers and simplify programming.By exposing the right metrics and visualizations, providing high levels…",NaN,NaN
29,Software Engineer Intern (Python) Summer 2020,"Columbia, MD 21046",Vectorworks Inc.,NaN,"Interest in pursuing a career in software systems engineering.The intern will help us build reliable, scalable applications for intern business systems and…",NaN,3.8
30,Software Engineer Intern,"Abingdon, MD",DCS Corp,NaN,"Desire to learn and support software development tools including Atlassian Suite, Docker, javascript, and others.",NaN,4.5
31,"Fullstack Software Developer Intern (JavaScript, Swift)",NaN,GoGoody Inc,$15 - $25 an hour,B.S. or M.S. in computer science or related fields;Very strong in JavaScript or Swift (at least 4 years' in-school or industry programming experience required)…,JavaScript: 2 years,NaN
32,2020 Software Engineer Intern,NaN,Bloomberg,NaN,"Engineering interns take ownership of their projects under the mentorship of full-time software engineers.In addition to your projects, you'll participate in…",NaN,3.9
33,2020 Summer Intern: Jr. Software Developer,NaN,SPECTRUM,NaN,"Engineering – Computer Science, Software Development, Coding, Programming.It’s a full-time, 10-week commitment from May 27, 2020 through July 31, 2020.",NaN,3.4
34,Software Engineering Intern,NaN,IEM Corporation,$14 - $16 an hour,"For the summer we are seeking an intern who can contribute to our software engineering department, specifically in Machine Vision, Artificial Intelligence, Deep…",NaN,NaN
35,Summer 2020 - Machine Learning Engineer - Intern,"New York, NY",Samsung Research America Internship,NaN,Team members will have the intellectual freedom to cultivate their research roots by partnering with universities and publishing in leading scientific…,NaN,NaN
